,model_uuid,model_path,ampl_version,model_type,dataset_key,features,splitter,model_score_type,feature_transform_type,model_choice_score,best_train_r2_score,best_train_rms_score,best_train_mae_score,best_train_num_compounds,best_valid_r2_score,best_valid_rms_score,best_valid_mae_score,best_valid_num_compounds,best_test_r2_score,best_test_rms_score,best_test_mae_score,best_test_num_compounds,rf_estimators,rf_max_features,rf_max_depth,max_epochs,best_epoch,learning_rate,layer_sizes,dropouts,xgb_gamma,xgb_learning_rate,model_parameters_dict,feat_parameters_dict
63,b5d13c11-87ba-4941-90b9-eac8c184e90f,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_b5d13c11-87ba-4941-90b9-eac8c184e90f.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7321812994387524,0.9753603714119913,0.28668714272566376,0.20903658436227873,359,0.7321812994387524,0.7403358366942188,0.5860109507778881,77,0.8204839002526766,0.7189185272438741,0.572374764127351,78,69.0,186.0,22.0,,,,,,,,"{""rf_estimators"": 69, ""rf_max_depth"": 22, ""rf_max_features"": 186}",{}
11,77845fea-3d50-4bc3-bb5f-cc51c661a77d,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_77845fea-3d50-4bc3-bb5f-cc51c661a77d.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7307066188147482,0.9751849007416056,0.2877061503899401,0.21163868926853718,359,0.7307066188147482,0.7423712811131937,0.5841150404426667,77,0.822736084205746,0.7143945674230513,0.5733241181472887,78,91.0,79.0,29.0,,,,,,,,"{""rf_estimators"": 91, ""rf_max_depth"": 29, ""rf_max_features"": 79}",{}
99,98abca9f-2e80-492f-a18b-1b71795431f3,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_98abca9f-2e80-492f-a18b-1b71795431f3.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,ecfp,scaffold,r2,normalization,0.7303169389809341,0.9469527870344889,0.42065148215484266,0.2828007879950299,359,0.7303169389809341,0.7429082095347334,0.5708675959894073,77,0.8153427944539884,0.7291403014503522,0.5671694426198366,78,509.0,14.0,19.0,,,,,,,,"{""rf_estimators"": 509, ""rf_max_depth"": 19, ""rf_max_features"": 14}","{""ecfp_radius"": 2, ""ecfp_size"": 1024}"
91,8f1827f5-8dd3-494b-bcc2-86c1e1278839,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_8f1827f5-8dd3-494b-bcc2-86c1e1278839.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,ecfp,scaffold,r2,normalization,0.7294510711676186,0.9499839299654526,0.4084566018664038,0.26844467218831364,359,0.7294510711676186,0.7440998765323782,0.5660456695512974,77,0.8152504310592329,0.7293226324186861,0.5600425470886402,78,118.0,51.0,21.0,,,,,,,,"{""rf_estimators"": 118, ""rf_max_depth"": 21, ""rf_max_features"": 51}","{""ecfp_radius"": 2, ""ecfp_size"": 1024}"
20,ef0b0e2d-2bf9-4d4e-9297-bbe22ee14969,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_ef0b0e2d-2bf9-4d4e-9297-bbe22ee14969.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.728039814405302,0.9759243933296844,0.2833868915377624,0.20590756589654474,359,0.728039814405302,0.7460380659100805,0.5874418582239628,77,0.8133233819307473,0.7331164021241081,0.5821945928071417,78,163.0,159.0,23.0,,,,,,,,"{""rf_estimators"": 163, ""rf_max_depth"": 23, ""rf_max_features"": 159}",{}
69,2a9ee0a9-83c5-4ca4-9214-ca6e93168b2e,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_2a9ee0a9-83c5-4ca4-9214-ca6e93168b2e.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7253876815462349,0.9750390032099217,0.28855067854912275,0.21480517658584536,359,0.7253876815462349,0.749666890615852,0.5862828904919509,77,0.8166565856188438,0.7265418432808973,0.5754994455192314,78,314.0,149.0,11.0,,,,,,,,"{""rf_estimators"": 314, ""rf_max_depth"": 11, ""rf_max_features"": 149}",{}
47,6001809d-8cad-46de-8bbd-49bfec2b72d9,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_6001809d-8cad-46de-8bbd-49bfec2b72d9.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7248357577833213,0.9759933603550502,0.2829807051437107,0.20885126928936115,359,0.7248357577833213,0.7504198635451153,0.5902800443105964,77,0.820837814739213,0.7182095066880234,0.5689525548592262,78,317.0,90.0,24.0,,,,,,,,"{""rf_estimators"": 317, ""rf_max_depth"": 24, ""rf_max_features"": 90}",{}
53,c0e7569a-7570-4783-8d34-33a187cc26df,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_c0e7569a-7570-4783-8d34-33a187cc26df.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7246154742191481,0.9751066537184765,0.2881593912001836,0.21199028355099092,359,0.7246154742191481,0.7507201788952973,0.5737020459867401,77,0.8098769023843341,0.7398529583711274,0.5889063549318934,78,99.0,113.0,22.0,,,,,,,,"{""rf_estimators"": 99, ""rf_max_depth"": 22, ""rf_max_features"": 113}",{}
7,3da75713-3770-4a13-b943-c9c96a6e7023,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_3da75713-3770-4a13-b943-c9c96a6e7023.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7245354690995994,0.9756619237451193,0.28492743040025104,0.20781080538607768,359,0.7245354690995994,0.7508292211441989,0.5894278179609481,77,0.8151005053562212,0.7296184978829288,0.5767199681706316,78,294.0,166.0,29.0,,,,,,,,"{""rf_estimators"": 294, ""rf_max_depth"": 29, ""rf_max_features"": 166}",{}
14,ab58c538-a898-4d57-bebe-73ab261906c2,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_ab58c538-a898-4d57-bebe-73ab261906c2.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7236592227132328,0.9758060787721264,0.28408236109506857,0.2097396357142115,359,0.7236592227132328,0.7520224582914097,0.5895307062600951,77,0.8209736517100228,0.7179371894506148,0.5722224087518046,78,167.0,117.0,20.0,,,,,,,,"{""rf_estimators"": 167, ""rf_max_depth"": 20, ""rf_max_features"": 117}",{}
